,age,semesters_completed,commute_distance_km,financial_need_score,housing_urgency_rating,grades
A1 = 0 (not allocated),26.27,5.57,19.84,48.69,4.59,50.25
A1 = 1 (allocated),24.5,4.7,20.96,76.38,5.95,49.53
A2 = 0 (not allocated),26.5,5.75,18.89,45.68,4.26,50.03
A2 = 1 (allocated),24.75,4.71,22.02,71.69,6.0,50.11
A3 = 0 (not allocated),26.53,6.03,21.0,49.91,4.34,50.32
A3 = 1 (allocated),24.05,3.67,18.06,70.82,6.44,49.44
A4 = 0 (not allocated),26.81,5.95,19.8,49.83,4.37,50.4
A4 = 1 (allocated),22.96,3.6,21.11,73.57,6.6,49.11
